message_id,message_type,reference,amount,currency,sender_bic,receiver_bic,value_date,ordering_customer,beneficiary,remittance_info,validation_status,validation_errors,fraud_status,fraud_score,processing_status,fraud_statements,created_at,processed_at,fraud_evaluation,chain_analysis,agent_perspectives,note
b341aad4-4a63-4816-a2eb-31f89e961381,MT103,TXN198610153504,9911.14,CHF,NSVQCHADT29,CERQSG3JA76,260921,Sullivan Ltd Inc,James Kerr,Loan repayment,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.732365,,PENDING,,,
5a9a8f73-757f-4ccc-b8a0-3b802ea6792f,MT103,PAY318655,5000.18,USD,DCSMUSFO479,VNAIGBLIT3Q,260920,"Martin, Mitchell and Ramos Inc","Cohen, Foster and Williams Corp",Trade settlement,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.732589,,PENDING,,,
bca40cc1-00bd-4168-a1e0-7aaa6302d3d9,MT103,REF8Y9V6OZ,5978.79,USD,AISYDEWOYNH,TYYAGB0H47K,260919,Eugene Thompson,Jamie Valentine,Equipment purchase,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.732939,,PENDING,,,
66a377e1-026c-4c43-873d-033513a04561,MT103,PAY190768,306723.94,USD,TDICCH5VR44,CCNMSGF8G3X,260917,Hernandez-Jackson AG,Beard PLC AG,Property purchase,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.733132,,PENDING,,,
fd49439a-9688-4b03-9aa8-66fdb7e80175,MT202,TXN199908088653,95189.00,USD,ETSHDED8JU4,DCSMUSFO479,260924,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.733360,,PENDING,,,
65a8e837-3dce-4fac-bafd-7df2d34192e3,MT103,TXN198803292343,8986.08,USD,FYMEDEGMUGF,IOVFFRUI9AG,260922,Anthony Fitzgerald,Jackson-Charles Inc,Invoice payment,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.733389,,PENDING,,,
6fccf0db-1333-4587-8e7d-9faf3df9ecab,MT103,TXN202310192991,5129071.00,SGD,AISYDEWOYNH,ROKVCHN6J3F,260920,Cheryl Martinez,Wanda Warren,Invoice payment,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.733605,,PENDING,,,
56583ad2-e749-405f-b068-d9e2db2d4587,MT202,PAY223749,3373.89,USD,OLGBFRB4U2C,NSVQCHADT29,260920,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.733787,,PENDING,,,
d27696f8-d5dc-4f59-a99f-07b76c73c110,MT202,INV90709,9236.04,CHF,SHSHJPRLU9K,HCEBAUIPB72,260917,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.733806,,PENDING,,,
73db7156-f0cc-4abe-82a7-d5f796fa53c1,MT103,REF2IB6VAO,4503.11,USD,ROKVCHN6J3F,IOVFFRUI9AG,260922,Angela Flores,Renee Monroe,Trade settlement,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.733957,,PENDING,,,
546f44ab-fc7d-4a9f-96f7-9bea92266a25,MT103,TXN200007266915,4798.20,CHF,DCSMUSFO479,HWHUSGKKWFM,260921,Robert Barry,Mary Carter,Property purchase,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.734142,,PENDING,,,
583e7a3b-32b6-4edd-a61d-f5ea16a3d5a1,MT103,PCR878094,52313.43,USD,HWHUSGKKWFM,GXENGBQEUGK,260917,Justin Santos,Henry Group Corp,Trade settlement,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.734314,,PENDING,,,
014ac898-e970-4b5f-9139-0a7edbfc3f59,MT103,REFIU2K4A3,3955.29,USD,ZJDBUSZ6KCS,AISYDEWOYNH,260923,Hannah Hudson,Karen Arnold,Software licensing,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.734498,,PENDING,,,
3d2ce35d-a1ef-40c7-acef-1e5912cde42b,MT202,DHO711684,6141.78,EUR,FJZFJP7VVTG,NIBDHK9KRB7,260923,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.734694,,PENDING,,,
4827348d-4403-49c0-8305-b4432931f093,MT103,INV54690,8356.59,EUR,RQISHK9FFQX,HCEBAUIPB72,260920,Tracey Hall,Peggy Alvarez,Software licensing,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.734714,,PENDING,,,
73b95f86-776d-45a7-ab56-c73a847b8ddd,MT103,REFT2FGU21,11798.57,USD,RPJYAU2OB2I,RQZCCH73UMG,260921,Donald Lucas,Mathew Ray,Invoice payment,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.734908,,PENDING,,,
e72dbb10-9cc4-480a-9b42-ad469c5a4218,MT103,REFP7AJWRI,5725.12,EUR,ETSHDED8JU4,SHSHJPRLU9K,260919,Michael Beltran,Jeremiah Jimenez,Payment for services,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.735083,,PENDING,,,
896f3e5a-a6eb-4c52-bed0-f49526dfab0b,MT103,REFR7LXSZJ,62567.44,USD,RQISHK9FFQX,HWHUSGKKWFM,260919,Kristopher Carter,James Collins,Payment for services,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.735255,,PENDING,,,
b183292d-b398-4a79-95e7-924d63fc5e1e,MT103,PAY161694,9219.42,CHF,FJZFJP7VVTG,RQZCCH73UMG,260921,Isaiah Aguilar,"Cooper, Rubio and Leach Ltd",Salary transfer,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.735428,,PENDING,,,
8e14b73f-54d1-441b-a992-b382f334e263,MT103,TXN201103072771,4702.83,EUR,ETSHDED8JU4,AISYDEWOYNH,260917,Kathleen Brown,David Adams,Invoice payment,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.735738,,PENDING,,,
56d755f0-ae2f-479a-9f86-e4fb26cd6d3a,MT103,INV74020,4685.61,AUD,ROKVCHN6J3F,VEVEGBIF2QV,260923,Robert Roberts,James Fletcher,Investment transfer,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736037,,PENDING,,,
2dc4d99f-2997-4625-8ee4-63c970196f35,MT202,PAY632390,112535.41,USD,TDICCH5VR44,CERQSG3JA76,260922,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736223,,PENDING,,,
4e07ec5a-e900-4fd7-923d-19ea6361d57e,MT202,INV94689,123008.25,EUR,ZQYJHKO9VZ7,AISYDEWOYNH,260918,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736243,,PENDING,,,
c9633d04-c7fe-4d09-880e-9cb3be428ab4,MT202,PAY228265,53511.37,USD,RQISHK9FFQX,ROKVCHN6J3F,260923,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736259,,PENDING,,,
c241b3e3-5cac-4ebe-9f4c-25a7390bf0fb,MT103,REFHMNK179,8920.62,USD,ROKVCHN6J3F,JJXECHBX0RU,260922,Tyrone King,Jacqueline Anderson,Loan repayment,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736288,,PENDING,,,
f5bd0071-af95-436e-a850-54c76a00a365,MT103,INV55235,38700.94,EUR,NSVQCHADT29,IOVFFRUI9AG,260919,Chelsea Bray,Lucas-Kim Ltd,Property purchase,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736462,,PENDING,,,
f2e6d3a9-cc91-40d9-8655-ad81f969b5e2,MT103,TXN200106142755,2347.06,GBP,CCNMSGF8G3X,RPJYAU2OB2I,260924,"Valentine, Lawson and Petersen Inc",Melissa Kemp,Trade settlement,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736681,,PENDING,,,
a5a70d2e-1b03-4c05-9b84-97ce0cc63e25,MT202,REFHM7G1D0,10674.81,USD,CCNMSGF8G3X,CERQSG3JA76,260918,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736944,,PENDING,,,
e6256da2-31a5-40ce-9cf7-a4931c69bfa3,MT103,REFKI8WFXA,30567.87,USD,BGBBHKR2K38,GXENGBQEUGK,260923,Tracy Daniel,Jason Massey,Investment transfer,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.736968,,PENDING,,,
0a4be701-5ac4-4b4c-a012-46daacd3f7f0,MT103,INV91156,419.12,USD,NSVQCHADT29,IOEPDEDLPO1,260918,Hannah Jenkins,Palmer LLC AG,Consulting fees,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737135,,PENDING,,,
150e42cf-f333-437f-bf1a-35238be0597c,MT103,JYD697153,6991.15,CHF,FYMEDEGMUGF,DCSMUSFO479,260921,Angie Davis,Michael Carpenter,Property purchase,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737291,,PENDING,,,
e5169370-60c4-44a2-ae53-b80ac1940d84,MT202,INV17996,277593.64,CHF,TDICCH5VR44,ZQYJHKO9VZ7,260918,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737464,,PENDING,,,
f642e4c9-cb42-444a-a03f-61842ca741eb,MT202,INV90679,773.77,GBP,HCEBAUIPB72,OLGBFRB4U2C,260918,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737478,,PENDING,,,
eb2d1feb-e6d6-421b-b181-1a7a04faa5c9,MT202,PAY152007,5092.26,USD,NSVQCHADT29,JJXECHBX0RU,260920,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737493,,PENDING,,,
3948a0e4-68ff-4cc8-917a-a0a2408a8ea4,MT202,PAY746670,95565.40,EUR,ETSHDED8JU4,RQZCCH73UMG,260923,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737511,,PENDING,,,
0d5914c2-5972-4265-9566-5d18366c4419,MT202,LDF196855,40997.18,USD,FJZFJP7VVTG,BGBBHKR2K38,260919,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737538,,PENDING,,,
3575bdad-d8d4-42d2-b984-5b7899c830e8,MT202,REFITT4SGR,44128.94,USD,OLGBFRB4U2C,AISYDEWOYNH,260924,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737577,,PENDING,,,
e5cfc65c-f4f9-42a1-8970-5a12c438d26f,MT202,REFSRWJQ9P,2734.75,AUD,ETSHDED8JU4,DCSMUSFO479,260922,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737603,,PENDING,,,
de62be98-4be1-4f1f-9d72-44bf5d7868f7,MT202,REFRSTO3XG,269.23,EUR,FYMEDEGMUGF,IOVFFRUI9AG,260917,,,,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737627,,PENDING,,,
e31f68d1-68f6-43d0-8226-07fd38f41639,MT103,XYJ260670,5058.71,JPY,TDICCH5VR44,AISYDEWOYNH,260922,Leah Romero,Teresa Morales,Investment transfer,PENDING,[],PENDING,,PENDING,[],2026-09-17T13:00:32.737647,,PENDING,,,
